ID da Venda,Data da Venda,Modelo,Marca,Cor,Tamanho,Estampa,Quantidade,Preço Unitário (R$),Valor Total do Item (R$),Etiqueta
525,2024-11-24,Short Moletom,Puma,Vermelho,M,Sem estampa,1,383.99,383.99,ETQ525
526,2024-06-02,Camiseta Polo,Sem Marca,Verde,40,Estampa pequena na frente,5,204.99,1024.95,ETQ526
527,2024-09-15,Camisa Manga Longa,Nike,Branco,XGG,Estampa grande nas costas,5,207.99,1039.95,ETQ527
528,2024-06-06,Camisa Regata,Oakley,Azul Claro,XG,Estampa grande na frente,3,329.99,989.97,ETQ528
529,2024-11-16,Camisa Manga Longa,Lacoste,Preto,GG,Estampa pequena na frente,1,84.99,84.99,ETQ529
530,2024-08-10,Chinelo,Quiksilver,Cinza,P,Estampa grande na frente,1,224.99,224.99,ETQ530
531,2024-01-14,Chinelo,Adidas,Preto,M,Sem estampa,4,227.99,911.96,ETQ531
532,2024-01-14,Camisa Manga Curta,Element,Marrom,XGG,Sem estampa,4,207.99,831.96,ETQ532
533,2024-07-01,Camisa Manga Longa,Element,Marrom,GG,Sem estampa,2,311.99,623.98,ETQ533
534,2024-12-24,Chinelo,Reserva,Azul Claro,44,Estampa grande nas costas,5,336.99,1684.95,ETQ534
535,2024-09-06,Camisa Regata,Oakley,Cinza,GG,Estampa pequena na frente e grande atrás,2,179.99,359.98,ETQ535
536,2024-09-16,Chinelo,Sem Marca,Preto,XGG,Estampa pequena na frente e grande atrás,5,110.99,554.9499999999999,ETQ536
537,2024-08-30,Jaqueta,Nike,Azul Claro,XGG,Estampa pequena na frente e grande atrás,4,73.99,295.96,ETQ537
538,2024-01-03,Calça Moletom,Quiksilver,Branco,XGG,Estampa pequena na frente e grande atrás,1,335.99,335.99,ETQ538
539,2024-11-21,Camisa Manga Curta,Hurley,Vermelho,M,Estampa pequena na frente e grande atrás,2,334.99,669.98,ETQ539
540,2024-04-20,Jaqueta,Puma,Verde,GG,Estampa grande nas costas,4,62.99,251.96,ETQ540
541,2024-02-22,Tênis,Tommy Hilfiger,Verde,G,Sem estampa,5,57.99,289.95,ETQ541
542,2024-04-26,Camisa Manga Longa,Calvin Klein,Verde,44,Sem estampa,1,295.99,295.99,ETQ542
543,2024-10-24,Jaqueta,Vans,Vermelho,G,Estampa pequena na frente,5,207.99,1039.95,ETQ543
544,2024-06-12,Camisa Manga Curta,Nike,Azul Marinho,XG,Sem estampa,2,181.99,363.98,ETQ544
545,2024-07-22,Short Moletom,Quiksilver,Branco,44,Estampa grande nas costas,1,30.99,30.99,ETQ545
546,2024-05-28,Chinelo,Nike,Azul Marinho,P,Sem estampa,1,117.99,117.99,ETQ546
547,2024-06-08,Camiseta Polo,Hurley,Preto,XGG,Estampa grande nas costas,1,338.99,338.99,ETQ547
548,2024-06-29,Camisa Manga Curta,Tommy Hilfiger,Verde,GG,Estampa grande na frente,2,298.99,597.98,ETQ548
549,2024-03-18,Short Moletom,Vans,Bege,44,Estampa grande na frente,4,216.99,867.96,ETQ549
550,2024-04-24,Jaqueta,Nike,Preto,40,Estampa grande na frente,2,242.99,485.98,ETQ550
551,2024-07-27,Bermuda de Sarja,Sem Marca,Azul Marinho,GG,Estampa pequena na frente e grande atrás,1,390.99,390.99,ETQ551
552,2024-05-30,Tênis,Calvin Klein,Verde,G,Sem estampa,3,328.99,986.97,ETQ552
553,2024-09-01,Calça Moletom,Oakley,Azul Marinho,44,Estampa grande nas costas,4,265.99,1063.96,ETQ553
554,2024-06-22,Calça Moletom,Lacoste,Cinza,XGG,Estampa pequena na frente,3,328.99,986.97,ETQ554
555,2024-12-14,Calça Moletom,Reserva,Branco,40,Estampa grande na frente,5,124.99,624.9499999999999,ETQ555
556,2024-02-25,Bermuda de Sarja,Reserva,Cinza,GG,Sem estampa,4,161.99,647.96,ETQ556
557,2024-04-05,Jaqueta,Quiksilver,Preto,M,Estampa pequena na frente,3,197.99,593.97,ETQ557
558,2024-12-14,Short Moletom,Lacoste,Bege,XG,Sem estampa,1,392.99,392.99,ETQ558
559,2024-12-13,Camisa Manga Curta,Lacoste,Preto,P,Sem estampa,4,166.99,667.96,ETQ559
560,2024-08-04,Short Moletom,Vans,Verde,G,Estampa grande nas costas,2,169.99,339.98,ETQ560
561,2024-11-20,Camisa Regata,Quiksilver,Branco,XGG,Estampa pequena na frente,2,141.99,283.98,ETQ561
562,2024-11-18,Bermuda de Sarja,Quiksilver,Verde,XGG,Estampa grande na frente,5,250.99,1254.95,ETQ562
563,2024-05-17,Calça Moletom,Vans,Marrom,XGG,Estampa pequena na frente,2,105.99,211.98,ETQ563
564,2024-12-19,Calça Moletom,Hurley,Verde,44,Sem estampa,3,239.99,719.97,ETQ564
565,2024-07-14,Camiseta Polo,Reserva,Azul Marinho,GG,Estampa grande na frente,3,241.99,725.97,ETQ565
566,2024-12-21,Camisa Regata,Calvin Klein,Azul Claro,P,Estampa grande na frente,4,90.99,363.96,ETQ566
567,2024-11-29,Calça Jeans,Element,Branco,42,Estampa pequena na frente,4,256.99,1027.96,ETQ567
568,2024-08-03,Bermuda de Sarja,Vans,Vermelho,XGG,Estampa grande nas costas,3,381.99,1145.97,ETQ568
569,2024-02-11,Camisa Manga Curta,Sem Marca,Cinza,40,Sem estampa,4,139.99,559.96,ETQ569
570,2024-12-11,Moletom com Capuz,Lacoste,Bege,XGG,Estampa pequena na frente e grande atrás,4,377.99,1511.96,ETQ570
571,2024-04-07,Calça Moletom,Vans,Bege,42,Estampa pequena na frente e grande atrás,1,156.99,156.99,ETQ571
572,2024-02-27,Camisa Regata,Hurley,Azul Marinho,G,Estampa grande na frente,2,318.99,637.98,ETQ572
573,2024-08-07,Short Moletom,Adidas,Cinza,G,Estampa pequena na frente e grande atrás,3,160.99,482.97,ETQ573
574,2024-12-10,Moletom com Capuz,Tommy Hilfiger,Cinza,GG,Estampa pequena na frente,4,235.99,943.96,ETQ574
575,2024-12-23,Camiseta Polo,Element,Vermelho,G,Estampa grande nas costas,2,287.99,575.98,ETQ575
576,2024-06-28,Camisa Regata,Nike,Preto,M,Estampa pequena na frente,4,21.99,87.96,ETQ576
577,2024-06-25,Camisa Manga Curta,Lacoste,Azul Marinho,P,Estampa pequena na frente e grande atrás,1,153.99,153.99,ETQ577
578,2024-12-23,Jaqueta,Quiksilver,Preto,P,Sem estampa,5,240.99,1204.95,ETQ578
579,2024-04-26,Moletom com Capuz,Sem Marca,Marrom,GG,Estampa pequena na frente,1,394.99,394.99,ETQ579
580,2024-06-13,Short Moletom,Hurley,Preto,XG,Estampa grande na frente,1,245.99,245.99,ETQ580
581,2024-02-05,Calça Jeans,Quiksilver,Bege,XGG,Estampa grande na frente,5,224.99,1124.95,ETQ581
582,2024-12-14,Tênis,Sem Marca,Azul Marinho,44,Estampa pequena na frente e grande atrás,5,96.99,484.95,ETQ582
583,2024-06-02,Chinelo,Adidas,Azul Claro,42,Estampa pequena na frente e grande atrás,5,338.99,1694.95,ETQ583
584,2024-06-08,Camisa Manga Curta,Puma,Cinza,P,Estampa pequena na frente,3,236.99,710.97,ETQ584
585,2024-06-02,Camisa Manga Longa,Element,Vermelho,42,Estampa pequena na frente e grande atrás,5,370.99,1854.95,ETQ585
586,2024-11-18,Camisa Regata,Puma,Marrom,XG,Estampa grande nas costas,1,44.99,44.99,ETQ586
587,2024-07-01,Calça Jeans,Calvin Klein,Marrom,M,Estampa pequena na frente e grande atrás,2,160.99,321.98,ETQ587
588,2024-09-30,Calça Jeans,Adidas,Azul Claro,XG,Estampa pequena na frente,1,382.99,382.99,ETQ588
589,2024-02-03,Calça Jeans,Sem Marca,Marrom,P,Estampa pequena na frente,3,22.99,68.97,ETQ589
590,2024-11-06,Camiseta Polo,Oakley,Verde,G,Sem estampa,4,225.99,903.96,ETQ590
591,2024-12-08,Calça Moletom,Oakley,Bege,M,Estampa grande na frente,1,132.99,132.99,ETQ591
592,2024-03-01,Short Moletom,Element,Marrom,XG,Estampa pequena na frente,3,216.99,650.97,ETQ592
593,2024-01-10,Tênis,Reserva,Preto,P,Estampa pequena na frente e grande atrás,1,159.99,159.99,ETQ593
594,2024-07-04,Camisa Manga Longa,Quiksilver,Vermelho,M,Estampa pequena na frente,2,274.99,549.98,ETQ594
595,2024-12-07,Camisa Regata,Adidas,Vermelho,GG,Estampa grande nas costas,1,232.99,232.99,ETQ595
596,2024-09-27,Camisa Manga Curta,Tommy Hilfiger,Verde,M,Estampa pequena na frente e grande atrás,3,105.99,317.97,ETQ596
597,2024-04-23,Short Jeans,Puma,Marrom,40,Estampa pequena na frente,3,202.99,608.97,ETQ597
598,2024-04-14,Calça Moletom,Reserva,Verde,P,Estampa pequena na frente,2,348.99,697.98,ETQ598
599,2024-03-13,Camisa Regata,Nike,Verde,XGG,Estampa grande nas costas,2,74.99,149.98,ETQ599
600,2024-04-18,Short Jeans,Puma,Azul Claro,42,Estampa pequena na frente e grande atrás,4,371.99,1487.96,ETQ600
601,2024-06-09,Calça Jeans,Adidas,Cinza,P,Estampa pequena na frente,3,23.99,71.97,ETQ601
602,2024-12-14,Jaqueta,Hurley,Bege,44,Estampa pequena na frente e grande atrás,2,230.99,461.98,ETQ602
603,2024-04-18,Tênis,Tommy Hilfiger,Vermelho,XGG,Sem estampa,1,275.99,275.99,ETQ603
604,2024-05-16,Bermuda de Sarja,Tommy Hilfiger,Preto,G,Estampa pequena na frente e grande atrás,2,392.99,785.98,ETQ604
605,2024-07-04,Moletom com Capuz,Calvin Klein,Bege,GG,Estampa pequena na frente,5,98.99,494.95,ETQ605
606,2024-03-02,Camisa Regata,Quiksilver,Cinza,44,Sem estampa,5,98.99,494.95,ETQ606
607,2024-06-23,Camisa Regata,Oakley,Preto,XG,Estampa grande na frente,3,77.99,233.97,ETQ607
608,2024-06-13,Moletom com Capuz,Nike,Preto,40,Estampa grande nas costas,3,23.99,71.97,ETQ608
609,2024-06-04,Camisa Manga Curta,Reserva,Bege,44,Estampa grande na frente,2,164.99,329.98,ETQ609
610,2024-01-12,Jaqueta,Adidas,Azul Marinho,G,Sem estampa,4,397.99,1591.96,ETQ610
611,2024-06-01,Short Jeans,Calvin Klein,Cinza,XG,Estampa grande na frente,5,95.99,479.95,ETQ611
612,2024-04-28,Moletom com Capuz,Calvin Klein,Azul Marinho,GG,Estampa grande nas costas,2,339.99,679.98,ETQ612
613,2024-03-26,Short Moletom,Adidas,Azul Claro,P,Estampa pequena na frente,5,217.99,1089.95,ETQ613
614,2024-11-11,Tênis,Adidas,Vermelho,P,Estampa pequena na frente e grande atrás,5,73.99,369.95,ETQ614
615,2024-04-07,Bermuda de Sarja,Nike,Preto,GG,Estampa grande na frente,1,306.99,306.99,ETQ615
616,2024-08-02,Jaqueta,Puma,Vermelho,M,Sem estampa,2,199.99,399.98,ETQ616
617,2024-01-07,Camisa Manga Curta,Puma,Azul Marinho,M,Estampa grande na frente,4,183.99,735.96,ETQ617
618,2024-03-04,Calça Jeans,Tommy Hilfiger,Preto,40,Estampa pequena na frente,5,332.99,1664.95,ETQ618
619,2024-11-20,Camisa Manga Curta,Reserva,Preto,P,Estampa pequena na frente,2,334.99,669.98,ETQ619
620,2024-10-31,Tênis,Vans,Azul Marinho,40,Estampa pequena na frente,2,245.99,491.98,ETQ620
621,2024-09-08,Short Moletom,Calvin Klein,Branco,G,Estampa pequena na frente,1,185.99,185.99,ETQ621
622,2024-12-19,Short Jeans,Oakley,Azul Marinho,XGG,Estampa pequena na frente e grande atrás,4,174.99,699.96,ETQ622
623,2024-06-01,Chinelo,Reserva,Azul Claro,42,Estampa grande na frente,5,320.99,1604.95,ETQ623
624,2024-08-20,Camiseta Polo,Sem Marca,Verde,G,Sem estampa,3,208.99,626.97,ETQ624
625,2024-07-04,Calça Moletom,Reserva,Azul Claro,XG,Estampa grande nas costas,3,310.99,932.97,ETQ625
626,2024-06-12,Chinelo,Hurley,Marrom,40,Estampa grande nas costas,3,25.99,77.97,ETQ626
627,2024-12-30,Bermuda de Sarja,Calvin Klein,Marrom,44,Estampa grande nas costas,5,139.99,699.95,ETQ627
628,2024-03-16,Calça Jeans,Hurley,Azul Claro,GG,Estampa grande na frente,5,331.99,1659.95,ETQ628
629,2024-12-12,Short Jeans,Oakley,Vermelho,42,Estampa grande nas costas,2,115.99,231.98,ETQ629
630,2024-06-04,Calça Moletom,Reserva,Marrom,44,Sem estampa,4,81.99,327.96,ETQ630
631,2024-09-10,Chinelo,Quiksilver,Verde,44,Sem estampa,4,152.99,611.96,ETQ631
632,2024-08-09,Chinelo,Hurley,Vermelho,G,Estampa grande nas costas,3,364.99,1094.97,ETQ632
633,2024-11-28,Tênis,Adidas,Marrom,40,Estampa grande na frente,2,362.99,725.98,ETQ633
634,2024-06-03,Camiseta Polo,Reserva,Cinza,XG,Estampa pequena na frente,5,153.99,769.95,ETQ634
635,2024-07-24,Camisa Regata,Element,Vermelho,XG,Estampa pequena na frente,3,176.99,530.97,ETQ635
636,2024-07-04,Chinelo,Sem Marca,Vermelho,M,Estampa grande na frente,4,74.99,299.96,ETQ636
637,2024-12-16,Chinelo,Element,Marrom,M,Estampa grande na frente,4,62.99,251.96,ETQ637
638,2024-08-05,Moletom com Capuz,Adidas,Preto,42,Estampa grande nas costas,5,347.99,1739.95,ETQ638
639,2024-04-16,Camiseta Polo,Nike,Vermelho,XG,Estampa pequena na frente e grande atrás,3,353.99,1061.97,ETQ639
640,2024-06-04,Moletom com Capuz,Vans,Azul Marinho,GG,Sem estampa,4,79.99,319.96,ETQ640
641,2024-11-13,Bermuda de Sarja,Calvin Klein,Verde,G,Estampa grande na frente,1,142.99,142.99,ETQ641
642,2024-03-20,Camisa Manga Curta,Quiksilver,Bege,G,Estampa grande na frente,2,288.99,577.98,ETQ642
643,2024-07-14,Tênis,Reserva,Marrom,40,Sem estampa,3,367.99,1103.97,ETQ643
644,2024-10-16,Camiseta Polo,Adidas,Verde,XG,Estampa pequena na frente e grande atrás,3,381.99,1145.97,ETQ644
645,2024-11-07,Calça Jeans,Tommy Hilfiger,Verde,42,Estampa grande nas costas,4,360.99,1443.96,ETQ645
646,2024-02-28,Chinelo,Nike,Bege,G,Estampa grande nas costas,2,32.99,65.98,ETQ646
647,2024-12-16,Short Moletom,Nike,Branco,P,Sem estampa,4,317.99,1271.96,ETQ647
648,2024-02-11,Jaqueta,Calvin Klein,Verde,XG,Sem estampa,1,174.99,174.99,ETQ648
649,2024-10-20,Camisa Regata,Quiksilver,Preto,M,Estampa pequena na frente e grande atrás,5,343.99,1719.95,ETQ649
650,2024-06-10,Camiseta Polo,Nike,Marrom,40,Estampa grande na frente,1,77.99,77.99,ETQ650
651,2024-11-20,Camisa Regata,Reserva,Branco,XGG,Estampa pequena na frente,1,152.99,152.99,ETQ651
652,2024-01-25,Chinelo,Hurley,Marrom,40,Sem estampa,1,378.99,378.99,ETQ652
653,2024-07-29,Jaqueta,Lacoste,Azul Claro,42,Estampa grande nas costas,1,214.99,214.99,ETQ653
654,2024-09-22,Bermuda de Sarja,Quiksilver,Azul Claro,M,Estampa pequena na frente e grande atrás,4,375.99,1503.96,ETQ654
655,2024-10-01,Short Moletom,Puma,Azul Claro,40,Estampa grande nas costas,5,383.99,1919.95,ETQ655
656,2024-06-11,Calça Jeans,Reserva,Verde,40,Estampa grande na frente,2,232.99,465.98,ETQ656
657,2024-02-21,Bermuda de Sarja,Hurley,Bege,XGG,Estampa pequena na frente,2,101.99,203.98,ETQ657
658,2024-05-07,Chinelo,Puma,Marrom,G,Estampa pequena na frente e grande atrás,2,388.99,777.98,ETQ658
659,2024-11-23,Short Jeans,Quiksilver,Marrom,GG,Estampa pequena na frente e grande atrás,2,125.99,251.98,ETQ659
660,2024-07-18,Camisa Manga Curta,Lacoste,Azul Claro,40,Estampa pequena na frente,5,206.99,1034.95,ETQ660
661,2024-06-08,Calça Moletom,Adidas,Preto,XG,Sem estampa,2,226.99,453.98,ETQ661
662,2024-07-19,Calça Jeans,Tommy Hilfiger,Bege,44,Estampa pequena na frente e grande atrás,1,347.99,347.99,ETQ662
663,2024-08-20,Tênis,Oakley,Bege,40,Estampa pequena na frente,3,167.99,503.97,ETQ663
664,2024-08-06,Camiseta Polo,Lacoste,Cinza,G,Estampa pequena na frente e grande atrás,3,130.99,392.97,ETQ664
665,2024-11-23,Calça Jeans,Sem Marca,Branco,XG,Sem estampa,2,252.99,505.98,ETQ665
666,2024-05-03,Camisa Regata,Nike,Bege,G,Estampa grande na frente,1,367.99,367.99,ETQ666
667,2024-11-28,Calça Moletom,Adidas,Verde,40,Estampa grande nas costas,1,393.99,393.99,ETQ667
668,2024-08-10,Camisa Manga Longa,Element,Preto,G,Estampa grande nas costas,1,71.99,71.99,ETQ668
669,2024-08-28,Camisa Manga Curta,Oakley,Azul Claro,P,Estampa pequena na frente,3,219.99,659.97,ETQ669
670,2024-07-12,Bermuda de Sarja,Hurley,Branco,GG,Estampa grande nas costas,4,345.99,1383.96,ETQ670
671,2024-01-28,Chinelo,Nike,Verde,XGG,Estampa pequena na frente,4,25.99,103.96,ETQ671
672,2024-10-10,Camiseta Polo,Oakley,Branco,P,Estampa grande nas costas,5,325.99,1629.95,ETQ672
673,2024-12-25,Camisa Manga Curta,Adidas,Branco,XGG,Sem estampa,1,55.99,55.99,ETQ673
674,2024-11-25,Camiseta Polo,Quiksilver,Vermelho,P,Estampa pequena na frente e grande atrás,2,320.99,641.98,ETQ674
675,2024-01-07,Short Moletom,Lacoste,Cinza,GG,Estampa pequena na frente,5,354.99,1774.95,ETQ675
676,2024-06-19,Camiseta Polo,Reserva,Branco,44,Estampa grande nas costas,4,228.99,915.96,ETQ676
677,2024-06-11,Chinelo,Puma,Marrom,G,Sem estampa,5,86.99,434.95,ETQ677
678,2024-12-20,Bermuda de Sarja,Lacoste,Bege,XGG,Estampa pequena na frente,2,302.99,605.98,ETQ678
679,2024-12-15,Bermuda de Sarja,Hurley,Marrom,M,Estampa grande na frente,1,194.99,194.99,ETQ679
680,2024-12-10,Tênis,Oakley,Branco,XGG,Estampa pequena na frente,5,286.99,1434.95,ETQ680
681,2024-04-06,Moletom com Capuz,Vans,Verde,GG,Estampa pequena na frente e grande atrás,4,365.99,1463.96,ETQ681
682,2024-06-08,Bermuda de Sarja,Element,Marrom,GG,Estampa grande nas costas,4,291.99,1167.96,ETQ682
683,2024-06-27,Tênis,Adidas,Azul Claro,GG,Estampa grande nas costas,1,279.99,279.99,ETQ683
684,2024-08-03,Short Jeans,Oakley,Vermelho,42,Sem estampa,1,21.99,21.99,ETQ684
685,2024-11-04,Camisa Manga Curta,Hurley,Bege,M,Estampa pequena na frente,4,308.99,1235.96,ETQ685
686,2024-12-16,Calça Jeans,Reserva,Verde,40,Estampa pequena na frente e grande atrás,4,250.99,1003.96,ETQ686
687,2024-08-12,Camisa Manga Longa,Reserva,Branco,44,Estampa grande nas costas,3,387.99,1163.97,ETQ687
688,2024-06-06,Chinelo,Reserva,Bege,M,Estampa pequena na frente e grande atrás,2,79.99,159.98,ETQ688
689,2024-06-01,Bermuda de Sarja,Vans,Bege,XG,Estampa pequena na frente e grande atrás,2,28.99,57.98,ETQ689
690,2024-10-25,Calça Jeans,Puma,Azul Claro,P,Sem estampa,4,119.99,479.96,ETQ690
691,2024-01-18,Short Moletom,Sem Marca,Cinza,XGG,Sem estampa,2,87.99,175.98,ETQ691
692,2024-06-15,Chinelo,Calvin Klein,Marrom,GG,Estampa grande nas costas,4,155.99,623.96,ETQ692
693,2024-05-10,Camiseta Polo,Nike,Azul Claro,42,Estampa grande nas costas,3,21.99,65.97,ETQ693
694,2024-07-09,Jaqueta,Puma,Bege,XG,Estampa pequena na frente e grande atrás,4,321.99,1287.96,ETQ694
695,2024-08-02,Chinelo,Tommy Hilfiger,Cinza,GG,Estampa grande na frente,2,372.99,745.98,ETQ695
696,2024-12-21,Chinelo,Oakley,Verde,G,Sem estampa,5,272.99,1364.95,ETQ696
697,2024-01-02,Tênis,Sem Marca,Marrom,42,Estampa grande nas costas,4,24.99,99.96,ETQ697
698,2024-04-16,Calça Moletom,Adidas,Bege,P,Estampa pequena na frente,5,328.99,1644.95,ETQ698
699,2024-06-08,Short Jeans,Lacoste,Verde,P,Estampa grande nas costas,3,314.99,944.97,ETQ699
700,2024-12-27,Camisa Manga Longa,Lacoste,Bege,P,Estampa grande nas costas,5,304.99,1524.95,ETQ700
701,2024-01-07,Camisa Regata,Element,Azul Marinho,G,Sem estampa,2,203.99,407.98,ETQ701
702,2024-10-09,Camiseta Polo,Quiksilver,Azul Claro,XG,Estampa pequena na frente,2,329.99,659.98,ETQ702
